Crime,Category,Obs
delito contra centinela,90,Defensa
delito contra el deber de la prestación social sustitutoria,21.4,
delito contra el deber de prestación del servicio militar,23.3,
delito contra el derecho de los trabajadores,15,
delito contra el ejercicio de los derechos del personal,21.5,
delito contra el medio ambiente,16.3,
delito contra la Administración de Justicia,20,
delito contra la Administración de Justicia Militar,90,Defensa
delito contra la Administración pública,19,
delito contra la Comunidad Internacional,24,
delito contra la eficacia en el servicio,90,Defensa
delito contra la Hacienda de la Comunidad Europea,14,
delito contra la Hacienda en el ámbito militar,90,Defensa
delito contra la Hacienda Pública,14,
delito contra la integridad moral,7,
delito contra la intimidad,10,
delito contra la inviolabilidad de domicilio,21.5,
delito contra la inviolabilidad del domicilio,21.5,
delito contra la Ley de Caza,99,No está en el código penal
delito contra la Ley de Objeción de Conciencia,21.4,
delito contra la libertad individual,21.5,
delito contra la libertad y seguridad en el trabajo,15,
delito contra la ordenación del territorio,16,
delito contra la propiedad industrial,13.11,
delito contra la propiedad intelectual,13.11,
delito contra la salud pública,17.3,
delito contra la seguridad de los trabajadores,15,??
delito contra la seguridad del tráfico,17.4,
delito contra la seguridad en el trabajo,15,??
delito contra la seguridad interior del Estado,22,No estoy seguro
delito contra la seguridad pública,17,
delito contra la seguridad vial,17.4,
delito contra los deberes del servicio a bordo,90,Defensa
delito contra los derechos de autor,13.11,
delito contra los derechos de los ciudadanos extranjeros,15.BIS,
delito contra los derechos de los trabajadores,15,
delito contra los derechos individuales,21.5,
delito de abandono de destino,90,Defensa
delito de abandono de destino o residencia,90,Defensa
delito de abandono de familia,12.3,
delito de abandono de puesto de centinela,90,Defensa
delito de abandono de residencia,90,Defensa
delito de abandono de servicio,90,Defensa
delito de abandono de servicio de armas,90,Defensa
delito de abandono del servicio de transmisiones,90,Defensa
delito de abandono servicio de armas,90,Defensa
delito de aborto,2,
delito de abuso de autoridad,19.9,
delito de abusos sexuales,8.2,
delito de acusación falsa,20.5,
delito de agresión sexual,8.1,
delito de allanamiento,10.2,
delito de allanamiento de acuartelamiento militar,90,Defensa
delito de allanamiento de establecimiento mercantil,10.2,
delito de allanamiento de establecimiento público fuera de las horas de apertura,10.2,
delito de allanamiento de local,10.2,
delito de allanamiento de morada,10.2,
delito de alteración de placa de matrícula,18.2,
delito de alteración de placas de matrícula,18.2,
delito de alteración de placas de matrícula de vehículo automóvil,18.2,
delito de alteración de placas de matrículas,18.2,
delito de alzamiento de bienes,13.7,
delito de amenazas,6.2,
delito de apropiación indebida,13.6,
delito de asesinato,1,
delito de asociación ilícita,21.4,
delito de atentado,22.2,
delito de atentado a agente de la autoridad,22.2,
delito de atentado a agentes de la autoridad,22.2,
delito de atentado a los agentes de la autoridad,22.2,
delito de atentado contra funcionario público,22.2,
delito de atentado contra los medios o recursos de la Defensa Nacional,22.2,
delito de atraco,13.2,
delito de ausencia injustificada de su unidad,90,Defensa
delito de blanqueo de capitales,13.14,
delito de cheque en descubierto,13.6,
delito de cheque o talón sin fondos,13.6,
delito de coacciones,6.3,
delito de cohecho,19.5,
delito de colaboración con banda armada,22.7,
delito de conducción bajo influencia de bebidas alcohólicas,17.4,
delito de conducción de vehículo de motor sin autorización de su dueño,17.4,
delito de conducción de vehículo de motor sin título,17.4,
delito de conducción temeraria,17.4,
delito de contrabando,99,No está en el código penal
delito de daños,13.9,
delito de daños mediante incendio,13.9,
delito de daños mediante incendio en bien de uso público,13.9,
delito de denegación de auxilio,9,
delito de denegación de auxilio a la autoridad,19.3,
delito de denuncia falsa,20.5,
delito de depósito de armas,22.5,
delito de desacato,22,
delito de descubrimiento de secretos,10.1,
delito de deserción,90,Defensa
delito de deslealtad,90,Defensa
delito de deslealtad profesional,20.7,
delito de desobediencia,22.2,
delito de desobediencia a agentes de la autoridad,22.2,
delito de desórdenes públicos,22.3,
delito de detención ilegal,6.1,
delito de detenciones ilegales,"6,1",
delito de determinación coactiva a la prostitución,8.5,
delito de encubrimiento,20.3,
delito de entrada y registro ilegal,21.5,
delito de estafa,13.6,
delito de estragos,17.1,
delito de expendición de cheque en descubierto,13.6,
delito de expendición de moneda falsa,13.6,
delito de extorsión,13.3,
delito de extralimitación en el ejercicio del mando,90,Defensa
delito de extraviar por negligencia procedimientos y documentación oficial,90,Defensa
delito de fabricación de marcas,18.1 ,No estoy seguro si es esto o contra la propiedad
delito de fabricación de moneda falsa,18.1,
delito de falsedad,18,
delito de falsedad cometida en documento mercantil,18.2,
delito de falsedad de certificados,18.2,
delito de falsedad de documento,18.2,
delito de falsedad de documento de identidad,18.2,
delito de falsedad de documento mercantil,18.2,
delito de falsedad de documento oficial,18.2,
delito de falsedad de documento oficial y mercantil,18.2,
delito de falsedad de documento privado,18.2,
delito de falsedad de documento público,18.2,
delito de falsedad de documento público y oficial,18.2,
delito de falsedad de documentos mercantiles,18.2,
delito de falsedad de documentos oficiales y de comercio,18.2,
delito de falsedad de placa de matrícula,18.2,
delito de falsedad de uso de documento mercantil,18.2,
delito de falsedad documental,18.2,
delito de falsedad documento mercantil,18.2,
delito de falsedad documento oficial,18.2,
delito de falsedad en documentación mercantil,18.2,
delito de falsedad en documento,18.2,
delito de falsedad en documento de identidad,18.2,
delito de falsedad en documento de idéntidad,18.2,
delito de falsedad en documento mercantil,18.2,
delito de falsedad en documento mercantil o privado,18.2,
delito de falsedad en documento mercantil y oficial,18.2,
"delito de falsedad en documento mercantil, público y oficial",18.2,
delito de falsedad en documento oficial,18.2,
delito de falsedad en documento oficial y mercantil,18.2,
delito de falsedad en documento privado,18.2,
delito de falsedad en documento público,18.2,
delito de falsedad en documento público y mercantil,18.2,
"delito de falsedad en documento público, oficial o de comercio",18.2,
"delito de falsedad en documento público, oficial y de comercio",18.2,
delito de falsedad en documentos mercantiles,18.2,
delito de falsedad mercantil,18.2,
delito de falsificación,18,
delito de falsificación de certificados,18.2,
delito de falsificación de documento de identidad,18.2,
delito de falsificación de documento mercantil,18.2,
delito de falsificación de documento nacional de identidad,18.2,
delito de falsificación de documento oficial,18.2,
delito de falsificación de documento oficial y mercantil,18.2,
delito de falsificación de documento privado,18.2,
delito de falsificación de documento público,18.2,
delito de falsificación de documento público u oficial,18.2,
delito de falsificación de documentos mercantiles,18.2,
delito de falsificación de documentos privados,18.2,
delito de falsificación de documentos públicos,18.2,
delito de falsificación de documentos públicos u oficiales,18.2,
delito de falsificación de efectos timbrados,18.1,
delito de falsificación de letra de cambio,18.1,
delito de falsificación de marca,18.1 ,No estoy seguro si es esto o contra la propiedad
delito de falsificación de moneda,18.1,
delito de falsificación de placas de matrícula,18.2,
delito de falsificación de sellos oficiales,18.1,
"delito de falsificación de sellos, marcas o contraseñas",18.1,
delito de falsificación de tarjetas de crédito,18.1,
delito de falsificación documental,18.2,
delito de falsificación documento mercantil,18.2,
delito de falsificación documentos mercantiles,18.2,
delito de falsificación en documento mercantil,18.2,
delito de falsificación en documento oficial,18.2,
delito de falso testimonio,20.6,
delito de favorecimiento del consumo ilegal de drogas tóxicas,17.3,
delito de fraude contra la Hacienda de la Comunidad Europea,14,
delito de fraude por exacción ilegal,19.8,
delito de homicidio,1,
delito de hurto,13.1,
delito de hurto de uso de vehículo a motor,13.4,
delito de impago de pensiones,12.3,
delito de impedimento del ejercicio de los derechos cívicos,21.5,
delito de imprudencia temeraria,99,"Hay que ir caso a caso, los hay al volante y profesionales"
delito de imprudencia temeraria con resultado de lesiones,99,"Hay que ir caso a caso, los hay al volante y profesionales"
delito de imprudencia temeraria con resultado de muerte y lesiones,99,"Hay que ir caso a caso, los hay al volante y profesionales"
delito de incendio,17.2,
delito de incendio de inspiración terrorista,17.2,
delito de infanticidio,1,
delito de infidelidad en la custodia de documentos,19.4,
delito de infracción de derechos de autor,13.11,
delito de infracción de los derechos de propiedad intelectual,13.11,
delito de injurias,11.2,
delito de insolvencia punible,13.7,
delito de insulto a un superior,90,Defensa
delito de insumisión,23.3,
delito de interceptación ilegal de las comunicaciones telefónicas,21.5,
delito de intimidación,99,
delito de introducción de moneda falsa,18.1,
delito de intrusismo,18.5,
delito de inviolabilidad del domicilio,21.5,
delito de lesiones,3,
delito de librar certificación falsa,18.2,
delito de malos tratos,7,
delito de malos tratos simple,7,
delito de malversación,19.7,
delito de malversación de caudales públicos,19.7,
delito de malversación de fondos públicos,19.7,
delito de modificación de datos reservados,10,
delito de negligencia,90,Defensa
delito de obstrucción a la Justicia,20.7,
delito de ocupación indebida de vivienda,13.5,
delito de omisión de placa,18.2,
delito de omisión de placas de matrícula de vehículo de motor,18.2,
delito de omisión de socorro,9,
delito de omisión del deber de impedir delito,20.2,
delito de omisión del deber de perseguir delito,19.2,
delito de omisión del deber de socorro,9,
delito de otorgamiento de contrato simulado,13.6,
delito de parricidio,1,
delito de participación de riña tumultuaria,22.3,
delito de participación en banda armada,22.7,
delito de pertenencia a banda armada,22.7,
delito de posesión para el tráfico de sustancias estupefacientes,17.3,
delito de presentación en juicio de documento privado falso,18.2,
delito de prevaricación,19.1,
delito de promoción de la inmigración clandestina,15.BIS,
delito de proposición de asesinato mediante precio,1,
delito de prostitución de persona,8.5,
delito de quebrantamiento de condena,20.8,
delito de quebrantamiento de depósito,20.8,
delito de quebrantamiento de la condena de privación del permiso de conducir,20.8,
delito de quebrantamiento de medida cautelar,20.8,
delito de quebrantamiento especial del deber de presencia,20.8,
delito de quiebra,13.7,
delito de realización arbitraria del propio derecho,20.4,
delito de receptación,13.14,
delito de resistencia,22.2,
delito de resistencia a agente de la autoridad,22.2,
delito de resistencia a agentes de la autoridad,22.2,
delito de resistencia a la autoridad,22.2,
delito de resistencia a los agentes de la autoridad,22.2,
delito de revelación de secretos,10.1,
delito de riesgo,17.4,Viendo las sentencias se refiere a la conducción
delito de robo,13.2,
delito de secuestro,6.1,
delito de simulación,20.5,
delito de simulación de contrato,13.6,
delito de simulación de delito,20.5,
delito de simulación de infracción penal,20.5,
delito de sustitución de placa de matrícula,18.2,
delito de sustitución de placas de matrícula,18.2,
delito de sustitución o falsificación de placa de matrícula,18.2,
delito de sustracción de menores,12.3,
delito de sustracción de placa de matrícula de vehículo a motor,18.2,
delito de tenencia con finalidad de tráfico de drogas,17.3,
delito de tenencia de armas,22.5,
delito de tenencia de armas prohibidas,22.5,
delito de tenencia de explosivos,22.5,
delito de tenencia de moneda falsa,18.1 ,
delito de tenencia ilícita de arma,22.5,
delito de tenencia ilícita de arma de fuego,22.5,
delito de tenencia ilícita de armas,22.5,
delito de tenencia ilícita de armas de fuego,22.5,
delito de tenencia ilítica de armas,22.5,
delito de tenencia y tráfico de sustancias estupefacientes que causan grave daño a la salud,17.3,
delito de tentativa de terrorismo,22.7,
delito de terrorismo,22.7,
delito de torturas,7,
delito de tráfico de drogas,17.3,
delito de trato degradante,7,
delito de uso de documento de identidad falso,18.2,
delito de uso de documento de identidad verdadero expedido a nombre de otro,18.2,
delito de uso de documento falso,18.2,
delito de uso de documento mercantil falso,18.2,
delito de uso de documento oficial falso,18.2,
delito de uso de documento privado falso,18.2,
delito de uso de documentos de identidad falso,18.2,
delito de uso de nombre supuesto,18,
delito de uso indebido de título,18.2?,No estoy seguro
delito de uso público de nombre supuesto,18,
delito de usurpación,13.5,
delito de usurpación de estado civil,18.4,
delito de usurpación de funciones,18.5,
delito de utilización de documento nacional de identidad falso,18.2,
delito de utilización ilegítima de denominación de origen,13.11,
delito de utilización ilegítima de vehículo a motor ajeno,13.4,
delito de utilización ilegítima de vehículo de motor,13.4,
delito de utilización ilegítima de vehículo de motor ajeno,13.4,
delito de utilización ilegítima de vehículos de motor ajeno,13.4,
delito de utilización ilegítima de vehículos de motor sin permiso,13.4,
delito de violación,8.1,
delito de violencia doméstica,7,
delito electoral,99,No está en el código penal
delito fiscales,14,
delito por falsedad de documento mercantil,18.2,
delito relativo a la prostitución,8.5,
delito societario,13.13,
falta contra el orden público,25,
falta contra el patrimonio,25,
falta contra las personas,25,
falta contra los intereses generales,25,
falta de amenazas,25,
falta de apropiación indebida,25,
falta de coacciones,25,
falta de conducción de vehículo de motor sin seguro,25,
falta de daños,25,
falta de desacato,25,
falta de desobediencia,25,
falta de desobediencia a agente de la autoridad,25,
falta de desobediencia a los agentes de la autoridad,25,
falta de estafa,25,
falta de falsedad,25,
falta de hurto,25,
falta de imprudencia,25,
falta de injurias,25,
falta de lesiones,25,
falta de malos tratos,25,
falta de malos tratos de obra,25,
falta de maltrato,25,
falta de maltrato de obra,25,
falta de maltrato de obra sin causar lesión,25,
falta de menosprecio a agente de la autoridad,25,
falta de ocultación de nombre verdadero,25,
falta de ofensas,25,
falta de ofensas a agentes de la autoridad,25,
falta de resistencia a los agentes de la autoridad,25,
falta de respeto a agentes de la autoridad,25,
falta de respeto a la autoridad,25,
falta de respeto y consideración debida a la autoridad o sus agentes,25,
falta de robo,25,
falta de uso de nombre supuesto,25,
falta de vejación injusta,25,
faltas contra las personas,25,
faltas de amenazas,25,
faltas de hurto,25,
faltas de lesiones,25,
